지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
충북 괴산군,교외대기,633361,청천면,2019012906,0.0001,0.4,0.017,0.0048,49,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012909,0.0001,0.4,0.017,0.0051,46,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012904,0.0002,0.5,0.018,0.0051,63,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012908,0.0002,0.4,0.016,0.0058,47,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012905,0.0002,0.5,0.017,0.0053,58,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012824,0.0003,0.5,0.026,0.0056,79,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012710,0.0003,0.6,0.022,0.0057,38,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012709,0.0003,0.6,0.017,0.0063,41,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012708,0.0003,0.6,0.016,0.0073,33,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012703,0.0003,0.6,0.021,0.007,41,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012902,0.0003,0.5,0.02,0.0054,78,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012910,0.0003,0.4,0.022,0.006,48,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012707,0.0003,0.6,0.018,0.0068,38,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012706,0.0003,0.6,0.019,0.0069,33,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012705,0.0003,0.6,0.02,0.0068,38,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012704,0.0003,0.6,0.021,0.0068,38,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012901,0.0003,0.5,0.023,0.0057,82,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012807,0.0004,0.3,0.037,0.0052,29,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013006,0.0004,0.6,0.011,0.0136,54,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012702,0.0004,0.6,0.022,0.0077,46,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012903,0.0004,0.6,0.018,,64,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013007,0.0004,0.6,0.011,0.0133,49,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012907,0.0004,0.4,0.015,,47,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013001,0.0004,0.5,0.014,0.0143,67,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012808,0.0005,0.4,0.039,0.0051,26,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013008,0.0005,0.6,0.011,0.0131,50,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013009,0.0005,0.6,0.012,0.0127,50,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012922,0.0005,0.7,0.016,0.017,79,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013005,0.0005,0.6,0.011,0.0126,48,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010307,0.0005,0.6,0.014,0.0077,23,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012823,0.0005,0.5,0.028,0.0066,98,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012924,0.0005,0.6,0.014,0.0153,69,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013003,0.0005,0.6,0.011,0.0137,63,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013002,0.0005,0.7,0.012,0.0135,61,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013004,0.0005,0.6,0.012,0.0133,56,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012803,0.0006,0.5,0.031,0.0068,51,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012723,0.0006,0.7,0.024,0.0097,54,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012724,0.0006,0.7,0.021,0.0093,47,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012624,0.0006,0.6,0.026,0.0085,44,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012801,0.0006,0.7,0.02,0.0098,48,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012802,0.0006,0.7,0.02,0.0094,51,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019013010,0.0006,0.6,0.018,0.012,59,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012701,0.0006,0.7,0.023,0.0088,46,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012822,0.0006,0.5,0.032,0.0088,101,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010208,0.0006,0.4,0.018,0.0053,27,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010210,0.0006,0.4,0.021,0.0055,24,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010302,0.0006,0.5,0.016,0.0081,40,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010308,0.0006,0.6,0.014,0.0075,28,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010304,0.0006,0.6,0.016,0.0073,26,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012911,0.0006,0.4,0.029,0.006,57,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012923,0.0006,0.6,0.015,0.0164,71,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010310,0.0007,0.6,0.018,0.0062,35,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010309,0.0007,0.6,0.014,0.008,35,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010908,0.0007,0.5,0.017,0.0089,41,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010306,0.0007,0.5,0.014,0.0075,27,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010207,0.0007,0.4,0.018,0.0055,25,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012609,0.0007,0.5,0.021,0.0066,47,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010204,0.0007,0.4,0.025,0.0048,23,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010303,0.0007,0.6,0.016,0.008,28,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010205,0.0007,0.5,0.022,0.0058,28,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010209,0.0007,0.4,0.017,0.0078,22,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010305,0.0007,0.6,0.015,0.0098,25,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010203,0.0007,0.4,0.027,0.0044,25,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010206,0.0007,0.4,0.02,0.005,31,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012711,0.0007,0.5,0.028,0.0062,46,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012806,0.0007,0.3,0.042,0.0065,27,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010401,0.0008,0.5,0.012,0.0134,36,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010402,0.0008,0.5,0.011,0.0143,38,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010403,0.0008,0.5,0.011,0.0139,40,,충북 괴산군 청천면 송문로 덕평길
